citation_key,verification_status,locator,source,verified_title,verified_venue,verified_year,bib_year_note,role_in_r81
bonafilia2020,VERIFIED_DOI,10.1109/CVPRW50498.2020.00113,https://doi.org/10.1109/CVPRW50498.2020.00113,Sen1Floods11: a georeferenced dataset to train and test deep learning flood algorithms for Sentinel-1,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2020,,Sen1Floods11 dataset source
bountos2024,VERIFIED_DOI,10.52202/079017-1204,https://doi.org/10.52202/079017-1204,Kuro Siwo: 33 billion $m^2$ under the water. A global multi-temporal satellite dataset for rapid flood mapping,Advances in Neural Information Processing Systems 37,2024,,Kuro Siwo source dataset
landwehr2024validation,VERIFIED_DOI,10.1016/j.rse.2024.114439,https://doi.org/10.1016/j.rse.2024.114439,Towards robust validation strategies for EO flood maps,Remote Sensing of Environment,2024,,EO flood-map validation positioning
gneiting2007proper,VERIFIED_DOI,10.1198/016214506000001437,https://doi.org/10.1198/016214506000001437,"Strictly Proper Scoring Rules, Prediction, and Estimation",Journal of the American Statistical Association,2007,,proper scoring rules boundary
forman2010apples,VERIFIED_DOI,10.1145/1882471.1882479,https://doi.org/10.1145/1882471.1882479,Apples-to-apples in cross-validation studies,ACM SIGKDD Explorations Newsletter,2010,,micro/macro averaging and measurement pitfalls
jadidinejad2022,VERIFIED_DOI_YEAR_VARIANT,10.1145/3458509,https://doi.org/10.1145/3458509,The Simpson’s Paradox in the Offline Evaluation of Recommendation Systems,ACM Transactions on Information Systems,2021,local_bib_year=2022,aggregation and Simpson paradox in offline evaluation
koh2021wilds,VERIFIED_OFFICIAL,https://proceedings.mlr.press/v139/koh21a.html,https://proceedings.mlr.press/v139/koh21a.html,WILDS: A Benchmark of in-the-Wild Distribution Shifts,Proceedings of the 38th International Conference on Machine Learning,2021,,distribution-shift framing
ronneberger2015unet,VERIFIED_DOI,10.1007/978-3-319-24574-4_28,https://doi.org/10.1007/978-3-319-24574-4_28,U-Net: Convolutional Networks for Biomedical Image Segmentation,Lecture Notes in Computer Science Medical Image Computing and Computer-Assisted Intervention – MICCAI 2015,2015,,U-Net architecture source
chen2017deeplabv3,VERIFIED_OFFICIAL,https://arxiv.org/abs/1706.05587,https://arxiv.org/abs/1706.05587,Rethinking Atrous Convolution for Semantic Image Segmentation,arXiv,2017,,DeepLabv3 atrous-convolution source
vickers2006decisioncurve,VERIFIED_DOI,10.1177/0272989X06295361,https://doi.org/10.1177/0272989X06295361,Decision Curve Analysis: A Novel Method for Evaluating Prediction Models,Medical Decision Making,2006,,decision-curve and cost-ratio framing
pekel2016globalwater,VERIFIED_DOI,10.1038/nature20584,https://doi.org/10.1038/nature20584,High-resolution mapping of global surface water and its long-term changes,Nature,2016,,surface-water memory context
nobre2011hand,VERIFIED_DOI,10.1016/j.jhydrol.2011.03.051,https://doi.org/10.1016/j.jhydrol.2011.03.051,Height Above the Nearest Drainage – a hydrologically relevant new terrain model,Journal of Hydrology,2011,,HAND concept boundary
shen2019nonobstructed,VERIFIED_DOI,10.1016/j.rse.2018.11.008,https://doi.org/10.1016/j.rse.2018.11.008,Near-real-time non-obstructed flood inundation mapping using synthetic aperture radar,Remote Sensing of Environment,2019,,SAR flood mapping context
cian2018ndfi,VERIFIED_DOI,10.1016/j.rse.2018.03.006,https://doi.org/10.1016/j.rse.2018.03.006,Normalized Difference Flood Index for rapid flood mapping: Taking advantage of EO big data,Remote Sensing of Environment,2018,,EO flood-index context
garg2024arid,VERIFIED_DOI,10.1016/j.rse.2024.114417,https://doi.org/10.1016/j.rse.2024.114417,Unlocking the full potential of Sentinel-1 for flood detection in arid regions,Remote Sensing of Environment,2024,,SAR ambiguity in arid flood detection
cohen2025robust,VERIFIED_DOI,10.1029/2024WR039574,https://doi.org/10.1029/2024WR039574,Toward Robust Evaluations of Flood Inundation Predictions Using Remote Sensing Derived Benchmark Maps,Water Resources Research,2025,,benchmark-map uncertainty context
